"threshold","tpr","fpr","precision","network","network_label","n","n_f"
0.85,0.483870967741935,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.86,0.387096774193548,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.87,0.354838709677419,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.88,0.354838709677419,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.89,0.354838709677419,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.9,0.258064516129032,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.91,0.225806451612903,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.92,0.161290322580645,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.93,0.129032258064516,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.94,0.0967741935483871,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.95,0.0645161290322581,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.96,0.0645161290322581,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.97,0.032258064516129,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.98,0.032258064516129,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.99,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
1,0,0,NA,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0,1,1,0.147619047619048,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.01,1,0.988826815642458,0.149038461538462,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.02,1,0.955307262569832,0.153465346534653,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.03,1,0.88268156424581,0.164021164021164,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.04,1,0.692737430167598,0.2,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.05,1,0.430167597765363,0.287037037037037,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.06,1,0.273743016759777,0.3875,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.07,1,0.150837988826816,0.53448275862069,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.08,1,0.0782122905027933,0.688888888888889,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.09,1,0.0502793296089385,0.775,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.1,1,0.0502793296089385,0.775,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.11,1,0.0335195530726257,0.837837837837838,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.12,1,0.0279329608938547,0.861111111111111,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.13,1,0.0223463687150838,0.885714285714286,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.14,1,0.0223463687150838,0.885714285714286,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.15,1,0.0223463687150838,0.885714285714286,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.16,1,0.0167597765363128,0.911764705882353,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.17,1,0.0167597765363128,0.911764705882353,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.18,1,0.0111731843575419,0.939393939393939,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.19,1,0.0111731843575419,0.939393939393939,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.2,1,0.0111731843575419,0.939393939393939,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.21,1,0.0111731843575419,0.939393939393939,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.22,1,0.0111731843575419,0.939393939393939,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.23,1,0.0111731843575419,0.939393939393939,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.24,1,0.0111731843575419,0.939393939393939,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.25,1,0.0111731843575419,0.939393939393939,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.26,1,0.0111731843575419,0.939393939393939,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.27,1,0.0111731843575419,0.939393939393939,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.28,1,0.0111731843575419,0.939393939393939,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.29,1,0.0111731843575419,0.939393939393939,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.3,1,0.0111731843575419,0.939393939393939,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
