"tp","fp","fn","tn","precision","sensitivity","specificity","f1","shd","response_precision","response_recall","response_true_edges","network","n","rep"
28,8,3,132,0.777777777777778,0.903225806451613,0.942857142857143,0.835820895522388,29,1,1,7,"B_with_time",200,4
21,5,3,91,0.807692307692308,0.875,0.947916666666667,0.84,19,1,1,5,"A_baseline_only",300,4
26,16,5,124,0.619047619047619,0.838709677419355,0.885714285714286,0.712328767123288,36,0.875,1,7,"B_with_time",300,4
23,5,1,91,0.821428571428571,0.958333333333333,0.947916666666667,0.884615384615385,16,0.833333333333333,1,5,"A_baseline_only",500,4
29,13,2,127,0.69047619047619,0.935483870967742,0.907142857142857,0.794520547945206,25,0.875,1,7,"B_with_time",500,4
13,16,11,80,0.448275862068966,0.541666666666667,0.833333333333333,0.490566037735849,36,1,0.4,5,"A_baseline_only",20,5
12,24,19,116,0.333333333333333,0.387096774193548,0.828571428571429,0.358208955223881,51,0.571428571428571,0.571428571428571,7,"B_with_time",20,5
13,10,11,86,0.565217391304348,0.541666666666667,0.895833333333333,0.553191489361702,31,0.75,0.6,5,"A_baseline_only",30,5
19,11,12,129,0.633333333333333,0.612903225806452,0.921428571428571,0.622950819672131,36,0.75,0.428571428571429,7,"B_with_time",30,5
13,7,11,89,0.65,0.541666666666667,0.927083333333333,0.590909090909091,26,0.6,0.6,5,"A_baseline_only",40,5
21,12,10,128,0.636363636363636,0.67741935483871,0.914285714285714,0.65625,32,0.75,0.857142857142857,7,"B_with_time",40,5
18,5,6,91,0.782608695652174,0.75,0.947916666666667,0.765957446808511,20,1,0.8,5,"A_baseline_only",50,5
22,14,9,126,0.611111111111111,0.709677419354839,0.9,0.656716417910448,40,0.833333333333333,0.714285714285714,7,"B_with_time",50,5
17,6,7,90,0.739130434782609,0.708333333333333,0.9375,0.723404255319149,21,1,0.6,5,"A_baseline_only",60,5
21,7,10,133,0.75,0.67741935483871,0.95,0.711864406779661,25,1,0.571428571428571,7,"B_with_time",60,5
20,5,4,91,0.8,0.833333333333333,0.947916666666667,0.816326530612245,21,1,1,5,"A_baseline_only",75,5
22,10,9,130,0.6875,0.709677419354839,0.928571428571429,0.698412698412698,26,0.714285714285714,0.714285714285714,7,"B_with_time",75,5
22,1,2,95,0.956521739130435,0.916666666666667,0.989583333333333,0.936170212765957,16,1,1,5,"A_baseline_only",100,5
25,9,6,131,0.735294117647059,0.806451612903226,0.935714285714286,0.769230769230769,32,1,0.857142857142857,7,"B_with_time",100,5
22,6,2,90,0.785714285714286,0.916666666666667,0.9375,0.846153846153846,17,1,0.8,5,"A_baseline_only",150,5
26,10,5,130,0.722222222222222,0.838709677419355,0.928571428571429,0.776119402985075,28,1,1,7,"B_with_time",150,5
23,4,1,92,0.851851851851852,0.958333333333333,0.958333333333333,0.901960784313726,11,1,0.8,5,"A_baseline_only",200,5
26,9,5,131,0.742857142857143,0.838709677419355,0.935714285714286,0.787878787878788,33,0.857142857142857,0.857142857142857,7,"B_with_time",200,5
24,4,0,92,0.857142857142857,1,0.958333333333333,0.923076923076923,15,0.833333333333333,1,5,"A_baseline_only",300,5
29,13,2,127,0.69047619047619,0.935483870967742,0.907142857142857,0.794520547945206,27,0.777777777777778,1,7,"B_with_time",300,5
23,3,1,93,0.884615384615385,0.958333333333333,0.96875,0.92,6,1,1,5,"A_baseline_only",500,5
28,13,3,127,0.682926829268293,0.903225806451613,0.907142857142857,0.777777777777778,29,0.777777777777778,1,7,"B_with_time",500,5
12,13,12,83,0.48,0.5,0.864583333333333,0.489795918367347,34,0.666666666666667,0.4,5,"A_baseline_only",20,6
16,34,15,106,0.32,0.516129032258065,0.757142857142857,0.395061728395062,60,0.571428571428571,0.571428571428571,7,"B_with_time",20,6
10,8,14,88,0.555555555555556,0.416666666666667,0.916666666666667,0.476190476190476,27,0.666666666666667,0.4,5,"A_baseline_only",30,6
18,18,13,122,0.5,0.580645161290323,0.871428571428571,0.537313432835821,41,0.555555555555556,0.714285714285714,7,"B_with_time",30,6
15,5,9,91,0.75,0.625,0.947916666666667,0.681818181818182,22,1,0.6,5,"A_baseline_only",40,6
18,16,13,124,0.529411764705882,0.580645161290323,0.885714285714286,0.553846153846154,38,0.833333333333333,0.714285714285714,7,"B_with_time",40,6
15,9,9,87,0.625,0.625,0.90625,0.625,25,0.5,0.2,5,"A_baseline_only",50,6
21,10,10,130,0.67741935483871,0.67741935483871,0.928571428571429,0.67741935483871,33,1,0.571428571428571,7,"B_with_time",50,6
16,5,8,91,0.761904761904762,0.666666666666667,0.947916666666667,0.711111111111111,21,1,0.2,5,"A_baseline_only",60,6
20,13,11,127,0.606060606060606,0.645161290322581,0.907142857142857,0.625,32,0.857142857142857,0.857142857142857,7,"B_with_time",60,6
20,6,4,90,0.769230769230769,0.833333333333333,0.9375,0.8,22,1,0.8,5,"A_baseline_only",75,6
21,12,10,128,0.636363636363636,0.67741935483871,0.914285714285714,0.65625,33,0.875,1,7,"B_with_time",75,6
21,7,3,89,0.75,0.875,0.927083333333333,0.807692307692308,18,1,0.8,5,"A_baseline_only",100,6
25,10,6,130,0.714285714285714,0.806451612903226,0.928571428571429,0.757575757575758,29,1,1,7,"B_with_time",100,6
20,5,4,91,0.8,0.833333333333333,0.947916666666667,0.816326530612245,17,0.666666666666667,0.4,5,"A_baseline_only",150,6
26,7,5,133,0.787878787878788,0.838709677419355,0.95,0.8125,28,1,1,7,"B_with_time",150,6
22,7,2,89,0.758620689655172,0.916666666666667,0.927083333333333,0.830188679245283,14,1,1,5,"A_baseline_only",200,6
28,11,3,129,0.717948717948718,0.903225806451613,0.921428571428571,0.8,29,0.875,1,7,"B_with_time",200,6
23,5,1,91,0.821428571428571,0.958333333333333,0.947916666666667,0.884615384615385,16,0.833333333333333,1,5,"A_baseline_only",300,6
30,16,1,124,0.652173913043478,0.967741935483871,0.885714285714286,0.779220779220779,36,0.875,1,7,"B_with_time",300,6
22,8,2,88,0.733333333333333,0.916666666666667,0.916666666666667,0.814814814814815,23,0.8,0.8,5,"A_baseline_only",500,6
